x0,level
148409.00,314.97
148410.00,314.97
148411.00,314.97
148412.00,314.97
148413.00,314.97
148414.00,314.97
148415.00,314.98
148416.00,314.98
148417.00,314.98
148418.00,314.98
148419.00,314.98
148420.00,314.98
148421.00,314.98
148422.00,314.98
148423.00,314.99
148424.00,314.99
148425.00,314.99
148426.00,314.99
148427.00,314.99
148428.00,314.99
148429.00,315.00
148430.00,315.00
148431.00,315.00
148432.00,315.00
148433.00,315.00
148434.00,315.00
148435.00,315.01
148436.00,315.01
148437.00,315.01
148438.00,315.01
148439.00,315.01
148440.00,315.02
148441.00,315.02
148442.00,315.02
148443.00,315.02
148444.00,315.03
148445.00,315.03
148446.00,315.03
148447.00,315.03
148448.00,315.04
148449.00,315.04
148450.00,315.04
148451.00,315.04
148452.00,315.05
148453.00,315.05
148454.00,315.05
148455.00,315.05
148456.00,315.06
148457.00,315.06
148458.00,315.06
148459.00,315.07
148460.00,315.07
148461.00,315.07
148462.00,315.07
148463.00,315.08
148464.00,315.08
148465.00,315.08
148466.00,315.09
148467.00,315.09
148468.00,315.09
148469.00,315.10
148470.00,315.10
148471.00,315.10
148472.00,315.11
148473.00,315.11
148474.00,315.11
148475.00,315.12
148476.00,315.12
148477.00,315.13
148478.00,315.13
148479.00,315.13
148480.00,315.14
148481.00,315.14
148482.00,315.14
148483.00,315.15
148484.00,315.15
148485.00,315.16
148486.00,315.16
148487.00,315.16
148488.00,315.17
148489.00,315.17
148490.00,315.18
148491.00,315.18
148492.00,315.19
148493.00,315.19
148494.00,315.19
148495.00,315.20
148496.00,315.20
148497.00,315.21
148498.00,315.21
148499.00,315.22
148500.00,315.22
148501.00,315.23
148502.00,315.23
148503.00,315.24
148504.00,315.24
148505.00,315.25
148506.00,315.25
148507.00,315.26
148508.00,315.26
148509.00,315.27
148510.00,315.27
148511.00,315.28
148512.00,315.28
148513.00,315.29
148514.00,315.29
148515.00,315.30
148516.00,315.30
148517.00,315.31
148518.00,315.31
148519.00,315.32
148520.00,315.32
148521.00,315.33
148522.00,315.33
148523.00,315.34
148524.00,315.35
148525.00,315.35
148526.00,315.36
148527.00,315.36
148528.00,315.37
148529.00,315.37
148530.00,315.38
148531.00,315.39
148532.00,315.39
148533.00,315.40
148534.00,315.40
148535.00,315.41
148536.00,315.42
148537.00,315.42
148538.00,315.43
148539.00,315.44
148540.00,315.44
148541.00,315.45
148542.00,315.45
148543.00,315.46
148544.00,315.47
148545.00,315.47
148546.00,315.48
148547.00,315.49
148548.00,315.49
148549.00,315.50
148550.00,315.51
148551.00,315.51
148552.00,315.52
148553.00,315.53
148554.00,315.53
148555.00,315.54
148556.00,315.55
148557.00,315.56
148558.00,315.56
148559.00,315.57
148560.00,315.58
148561.00,315.58
148562.00,315.59
148563.00,315.60
148564.00,315.61
148565.00,315.61
148566.00,315.62
148567.00,315.63
148568.00,315.64
149003.57,318.90
149004.57,318.91
149005.57,318.92
149006.57,318.92
149007.57,318.93
149008.57,318.94
149009.57,318.95
149010.57,318.95
149011.57,318.96
149012.57,318.97
149013.57,318.97
149014.57,318.98
149015.57,318.99
149016.57,318.99
149017.57,319.00
149018.57,319.01
149019.57,319.01
149020.57,319.02
149021.57,319.03
149022.57,319.03
149023.57,319.04
149024.57,319.05
149025.57,319.05
149026.57,319.06
149027.57,319.07
149028.57,319.07
149029.57,319.08
149030.57,319.08
149031.57,319.09
149032.57,319.10
149033.57,319.10
149034.57,319.11
149035.57,319.11
149036.57,319.12
149037.57,319.12
149038.57,319.13
149039.57,319.14
149040.57,319.14
149041.57,319.15
149042.57,319.15
149043.57,319.16
149044.57,319.16
149045.57,319.17
149046.57,319.17
149047.57,319.18
149048.57,319.18
149049.57,319.19
149050.57,319.19
149051.57,319.20
149052.57,319.20
149053.57,319.21
149054.57,319.21
149055.57,319.22
149056.57,319.22
149057.57,319.23
149058.57,319.23
149059.57,319.23
149060.57,319.24
149061.57,319.24
149062.57,319.25
149063.57,319.25
149064.57,319.26
149065.57,319.26
149066.57,319.26
149067.57,319.27
149068.57,319.27
149069.57,319.28
149070.57,319.28
149071.57,319.28
149072.57,319.29
149073.57,319.29
149074.57,319.29
149075.57,319.30
149076.57,319.30
149077.57,319.30
149078.57,319.31
149079.57,319.31
149080.57,319.31
149081.57,319.32
149082.57,319.32
149083.57,319.32
149084.57,319.33
149085.57,319.33
149086.57,319.33
149087.57,319.34
149088.57,319.34
149089.57,319.34
149090.57,319.34
149091.57,319.35
149092.57,319.35
149093.57,319.35
149094.57,319.35
149095.57,319.36
149096.57,319.36
149097.57,319.36
149098.57,319.36
149099.57,319.37
149100.57,319.37
149101.57,319.37
149102.57,319.37
149103.57,319.37
149104.57,319.38
149105.57,319.38
149106.57,319.38
149107.57,319.38
149108.57,319.38
149109.57,319.38
149110.57,319.39
149111.57,319.39
149112.57,319.39
149113.57,319.39
