x0,level
164580.00,369.31
164600.00,369.49
164620.00,370.30
164640.00,374.01
164660.00,380.30
164680.00,380.98
164700.00,384.57
164720.00,384.05
164740.00,379.10
164760.00,382.86
164780.00,392.96
164800.00,398.66
164820.00,400.80
164840.00,403.76
164860.00,405.34
164880.00,406.40
164900.00,406.65
164920.00,407.46
164940.00,409.22
164960.00,410.49
164980.00,411.31
165000.00,412.24
165020.00,414.90
165040.00,418.67
165060.00,414.86
165080.00,412.83
165100.00,409.80
165120.00,405.71
165140.00,407.60
165160.00,414.25
165180.00,421.00
165200.00,424.94
165220.00,431.07
165240.00,433.84
165260.00,437.19
165280.00,438.97
165300.00,440.46
165320.00,442.71
165340.00,445.81
165360.00,448.93
165380.00,453.03
165400.00,454.34
165420.00,452.97
165440.00,452.04
165460.00,451.81
165480.00,451.18
165500.00,456.38
165520.00,458.06
165540.00,459.14
165560.00,461.69
165580.00,464.89
165600.00,467.43
165620.00,469.36
165640.00,468.67
165660.00,476.54
165680.00,477.51
165700.00,478.07
165720.00,482.27
165740.00,487.21
165760.00,493.18
165780.00,498.93
165800.00,503.63
165820.00,506.37
165840.00,507.15
165860.00,507.79
165880.00,503.80
165900.00,496.79
165920.00,493.39
165940.00,490.83
165960.00,488.02
165980.00,484.42
166000.00,479.20
166020.00,476.29
166040.00,472.09
166060.00,466.43
166080.00,459.43
166100.00,452.58
166120.00,446.78
166140.00,442.42
166160.00,439.01
166180.00,433.65
166200.00,426.83
166220.00,426.64
166240.00,429.88
166260.00,428.82
166280.00,427.43
166300.00,426.03
166320.00,423.87
166340.00,420.88
166360.00,419.58
166380.00,421.54
166400.00,421.48
166420.00,421.90
166440.00,422.68
166460.00,422.76
166480.00,422.50
166500.00,421.18
166520.00,419.79
166540.00,418.31
166560.00,416.60
166580.00,414.85
166600.00,412.75
166620.00,412.44
166640.00,410.56
166660.00,408.78
166680.00,409.77
166700.00,410.70
166720.00,412.26
166740.00,413.61
166760.00,414.54
166780.00,415.36
166800.00,415.75
166820.00,415.99
166840.00,416.06
166860.00,415.17
166880.00,414.72
166900.00,413.88
166920.00,413.47
166940.00,413.43
166960.00,413.38
166980.00,411.62
167000.00,411.39
167020.00,412.23
167040.00,414.90
167060.00,416.71
167080.00,418.10
167100.00,419.15
167120.00,420.27
167140.00,421.00
167160.00,422.07
167180.00,422.84
167200.00,423.41
167220.00,424.05
167240.00,424.69
167260.00,424.24
167280.00,420.28
167300.00,417.59
